SHOE_NAME,Brand,Closure,Cut,MSRP (USD),Pronation,Release Date,Season,Use,Waterproofing,Weight (oz),Widths Available
Mammut Saentis Low GTX,Mammut,Laces,Low,110.00,{Neutral},2020,{},"{Light, Speed}",Waterproof,13.1,{Standard}
Northside Monroe Low,Northside,Laces,Low,45.00,{},,{Summer},"{Urban, Day}",,17.0,"{Standard, Wide}"
Harley-Davidson Chase,Harley-Davidson,,Low,94.00,{},2019,{Summer},{Day},,11.2,{Standard}
Salomon Odyssey Advanced,Salomon,Laces,Low,190.00,{},2023,{Summer},"{Urban, Day}",,11.3,{Standard}
Timberland Keele Ridge Waterproof,Timberland,Laces,Low,100.00,{},,{},"{Urban, Day}",Waterproof,16.0,"{Standard, Wide}"
Vivobarefoot Magna FG,Vivobarefoot,Laces,Mid,151.00,{Neutral},2022,"{Summer, Winter}","{Snow, Water, Light, Urban}",Waterproof,12.3,"{Standard, Wide}"
The North Face Ultra 109 WP,The North Face,Laces,Low,120.00,{Neutral},2020,{},{Day},Waterproof,13.9,"{Standard, Wide}"
Salewa Ultra Flex Mid GTX,Salewa,Laces,Mid,190.00,{},,{},{Speed},Waterproof,13.6,{Standard}
Mammut Sertig II Low,Mammut,Laces,Low,119.00,{},2022,{Summer},"{Light, Speed}",,,{Standard}
Aku Tengu Low GTX,Aku,Laces,Low,170.00,{},2019,{},{Backpacking},Waterproof,15.3,{Standard}
Haglöfs Trail Fuse GT,Haglöfs,Laces,Low,90.00,{Neutral},2020,{},"{Urban, Day}",,11.5,{Standard}
Haglöfs Krusa Gt,Haglöfs,Laces,Low,125.00,{Neutral},2020,{},"{Urban, Day}",Waterproof,13.4,{Standard}
Jack Wolfskin Vojo Hike 2 Texapore Low,Jack Wolfskin,Laces,Low,85.00,{},2020,{},{Day},Waterproof,15.7,{Standard}
Lowa Gorgon GTX,Lowa,Laces,Low,210.00,{},2019,{},"{Speed, Urban}",Waterproof,13.4,{Standard}
